obra,campo,camada,id_kwic,pagina,termo_encontrado,contexto_antes,trecho_central,contexto_depois,uso_figural,subcategoria,comentario
latour_1999_recalling_bis,textil,exaustiva,latour_1999_recalling_bis#textil#pos_011614,1,ties,macro are local effects of hooking up to circulating enti-,ties,"if contexts flow inside narrow conduits, it means that there",,,
latour_1999_recalling_bis,topologia,A_top_densidade,latour_1999_recalling_bis#topologia#pos_020766,1,fluids,of nature. It is a theory of the space or,fluids,circulating in a non-modern situation. What type of connection can,sim,,"""It is a theory of the space or fluids circulating in a non-modern situation"". Tropo de circulacao-fluidez, central no argumento do ""after ANT"". [migrado da Etapa 2.6]"
latour_1999_recalling_bis,topologia,A_top_densidade,latour_1999_recalling_bis#topologia#pos_020773,1,circulating,nature. It is a theory of the space or fluids,circulating,in a non-modern situation. What type of connection can be,sim,,"Continuacao do ""fluids circulating"". [migrado da Etapa 2.6]"
latour_1999_recalling_bis,topologia,A_top_densidade,latour_1999_recalling_bis#topologia#pos_020826,1,connection,or fluids circulating in a non-modern situation. What type of,connection,"can be established between those terms, other than the systematic",sim,,"""What type of connection can be established between those terms"". Connection em registro topologico-relacional. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,topologia,A_top_densidade,latour_1999_recalling_bis#topologia#pos_009683,1,scale,back. In the social domain there is no change of,scale,It is so to speak always flat and folded and,sim,,"""In the social domain there is no change of scale"". Tropo topologico pleno, definicao programatica da TAR posterior. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,topologia,A_top_densidade,latour_1999_recalling_bis#topologia#pos_009715,1,flat,no change of scale. It is so to speak always,flat,and folded and this is especially true of the natural,sim,,"""It is so to speak always flat and folded"". Tropo topologico, par flat/folded de inspiracao deleuziana. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,topologia,B_aleatoria,latour_1999_recalling_bis#topologia#pos_025782,1,circulation,care to take it also for a certain type of,circulation,The point on which I want to conclude is somewhat,sim,,"""The treatment of the collective of scientific reality as a circulation of transformations"". Tropo programatico de circulacao. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,topologia,B_aleatoria,latour_1999_recalling_bis#topologia#pos_008749,1,circulating,"intentionality, with their morality. When you hook up with this",circulating,"entity, then you are partially provided with consciousness, subjectivity, actorial-",sim,,"Continuacao do ""fluids circulating"". [migrado da Etapa 2.6]"
latour_1999_recalling_bis,topologia,B_aleatoria,latour_1999_recalling_bis#topologia#pos_001097,1,surface,"diverse as institution, society, nation-state and, more generally, any flat",surface,it has lost any cutting edge and is now the,,,
latour_1999_recalling_bis,topologia,B_aleatoria,latour_1999_recalling_bis#topologia#pos_011723,1,trajectories,that there is plenty of 'space' in between the tiny,trajectories,"of what could be called the local productions of 'phusigenics',",,,
latour_1999_recalling_bis,topologia,B_aleatoria,latour_1999_recalling_bis#topologia#pos_011632,1,flow,"effects of hooking up to circulating enti- ties, if contexts",flow,"inside narrow conduits, it means that there is plenty of",sim,,"""Contexts too flow locally through networks"". Tropo de circulacao, topologico-dinamico. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,topologia,C_variantes_raras,latour_1999_recalling_bis#topologia#pos_006700,1,trajectory,be an artefact: the result of trying to picture a,trajectory,"a movement, by using oppositions between two notions, micro and",,,
latour_1999_recalling_bis,topologia,C_variantes_raras,latour_1999_recalling_bis#topologia#pos_008146,1,connected,"does not mean 'really' big or 'overall', or 'overarching', but",connected,"blind, local, mediated, related. This is already an important contribution",,,
latour_1999_recalling_bis,topologia,C_variantes_raras,latour_1999_recalling_bis#topologia#pos_009724,1,folded,of scale. It is so to speak always flat and,folded,and this is especially true of the natural sciences that,sim,,"Continuacao do mesmo ""flat and folded"". Par de tropos topologicos. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,topologia,C_variantes_raras,latour_1999_recalling_bis#topologia#pos_015526,1,fluid,touchstones. John Law and Annemarie Mol have used the word,fluid,"(Mol and Law, 1994), Adrian Cussins, the word trails (Cussins,",sim,,"""John Law and Annemarie Mol have used the word fluid"". Latour cita o vocabulario alternativo de Law e Mol como exemplo de figuracao nova. Caso interessante: fluid e ALTERNATIVA explicita ao agonistico. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,topologia,C_variantes_raras,latour_1999_recalling_bis#topologia#pos_015854,1,circulations,irretrievable: it is a theory that says that by following,circulations,"we can get more than by defining entities, essence or",sim,,"""It is a theory that says that by following circulations we can get more than by defining entities"". Tropo topologico-dinamico pleno. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,network,A_top_densidade,latour_1999_recalling_bis#network#pos_001277,1,networks,"'Down with rigid institutions,' they all say, 'long live flexible",networks,What is the difference between the older and the new,sim,,"""Contexts too flow locally through networks"". Aqui network e usada figuralmente, nao tematizada. Diferente dos casos metalinguisticos. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,network,A_top_densidade,latour_1999_recalling_bis#network#pos_009933,1,networks,is supposed to be located. Contexts too flow locally through,networks,"be these geography, medicine, statistics, economics, or even sociology. This",sim,,"""Contexts too flow locally through networks"". Aqui network e usada figuralmente, nao tematizada. Diferente dos casos metalinguisticos. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,network,A_top_densidade,latour_1999_recalling_bis#network#pos_012125,1,networks,say 'we' and 'one'. This empty space 'in between' the,networks,those terra incognita are the most exciting aspects of ANT,sim,,"""Contexts too flow locally through networks"". Aqui network e usada figuralmente, nao tematizada. Diferente dos casos metalinguisticos. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,network,A_top_densidade,latour_1999_recalling_bis#network#pos_015774,1,networks,theory should be and what the excessive diffusion of 'double-click',networks,has rendered irretrievable: it is a theory that says that,sim,,"""Contexts too flow locally through networks"". Aqui network e usada figuralmente, nao tematizada. Diferente dos casos metalinguisticos. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,network,A_top_densidade,latour_1999_recalling_bis#network#pos_029445,1,networks,"Scientist 37(6): 772-790. Mol, A. and J. Law (1994), 'Regions,",Networks,and Fluids: Anaemia and Social Topology.' Social Studies of Science,sim,,"""Contexts too flow locally through networks"". Aqui network e usada figuralmente, nao tematizada. Diferente dos casos metalinguisticos. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,network,B_aleatoria,latour_1999_recalling_bis#network#pos_026816,1,network,"abandoning what is so wrong with ANT, that is 'actor',",network,"'theory' without forgetting the hyphen!—some other creature might emerge, light",nao,metalinguistico,"""ANT, that is actor, network, theory, without forgetting the hyphen!"" Latour aqui ENUMERA os termos para ""pregar o ultimo prego no caixao"". Metalinguistico explicito, gesto autocritico. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,network,B_aleatoria,latour_1999_recalling_bis#network#pos_000551,1,network,"not work with actor-network theory; the word actor, the word",network,the word theory and the hyphen! Four nails in the,nao,metalinguistico,"""ANT, that is actor, network, theory, without forgetting the hyphen!"" Latour aqui ENUMERA os termos para ""pregar o ultimo prego no caixao"". Metalinguistico explicito, gesto autocritico. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,network,B_aleatoria,latour_1999_recalling_bis#network#pos_000121,1,network,explores one after the other the four difficulties of actor-,network,"theory, that is the words 'actor', 'network' and 'theory'—without forgetting",nao,metalinguistico,"""ANT, that is actor, network, theory, without forgetting the hyphen!"" Latour aqui ENUMERA os termos para ""pregar o ultimo prego no caixao"". Metalinguistico explicito, gesto autocritico. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,network,B_aleatoria,latour_1999_recalling_bis#network#pos_002089,1,network,"02148, USA. Bruno Latour cutting edge of the notion of",network,I don't think we should use it anymore at least,nao,metalinguistico,"""ANT, that is actor, network, theory, without forgetting the hyphen!"" Latour aqui ENUMERA os termos para ""pregar o ultimo prego no caixao"". Metalinguistico explicito, gesto autocritico. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,network,B_aleatoria,latour_1999_recalling_bis#network#pos_001614,1,network,of social theory. With the new popularization of the word,network,"it now means transport without deformation, an instantaneous, unmediated access",nao,metalinguistico,"""ANT, that is actor, network, theory, without forgetting the hyphen!"" Latour aqui ENUMERA os termos para ""pregar o ultimo prego no caixao"". Metalinguistico explicito, gesto autocritico. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,network,C_variantes_raras,latour_1999_recalling_bis#network#pos_000165,1,network,"difficulties of actor- network theory, that is the words 'actor',",network,and 'theory'—without forgetting the hyphen. It tries to refocus the,nao,metalinguistico,"""ANT, that is actor, network, theory, without forgetting the hyphen!"" Latour aqui ENUMERA os termos para ""pregar o ultimo prego no caixao"". Metalinguistico explicito, gesto autocritico. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,network,C_variantes_raras,latour_1999_recalling_bis#network#pos_000510,1,network,that there are four things that do not work with,network,"theory; the word actor, the word network, the word theory",nao,metalinguistico,"""ANT, that is actor, network, theory, without forgetting the hyphen!"" Latour aqui ENUMERA os termos para ""pregar o ultimo prego no caixao"". Metalinguistico explicito, gesto autocritico. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,network,C_variantes_raras,latour_1999_recalling_bis#network#pos_000671,1,network,first nail in the coffin is I guess the word,network,as John Law indicates in his paper in this volume.,nao,metalinguistico,"""ANT, that is actor, network, theory, without forgetting the hyphen!"" Latour aqui ENUMERA os termos para ""pregar o ultimo prego no caixao"". Metalinguistico explicito, gesto autocritico. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,network,C_variantes_raras,latour_1999_recalling_bis#network#pos_000905,1,network,"World Wide Web exists, everyone believes they understand what a",network,is. While twenty years ago there was still some freshness,nao,metalinguistico,"""ANT, that is actor, network, theory, without forgetting the hyphen!"" Latour aqui ENUMERA os termos para ""pregar o ultimo prego no caixao"". Metalinguistico explicito, gesto autocritico. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,network,C_variantes_raras,latour_1999_recalling_bis#network#pos_001373,1,network,"older and the new usage? At the time, the word",network,"like Deleuze's and Guattari's term rhizome, clearly meant a series",nao,metalinguistico,"""ANT, that is actor, network, theory, without forgetting the hyphen!"" Latour aqui ENUMERA os termos para ""pregar o ultimo prego no caixao"". Metalinguistico explicito, gesto autocritico. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,actor_network,exaustiva,latour_1999_recalling_bis#actor_network#pos_000504,1,actor-network,that there are four things that do not work with,actor-network,"theory; the word actor, the word network, the word theory",nao,metalinguistico,"""The very expression of actor-network invites this reaction"". Mesma passagem da linha 75. Metalinguistico-autocritico, Latour tematiza o termo para criticar. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,actor_network,exaustiva,latour_1999_recalling_bis#actor_network#pos_003305,1,actor-network,"of forces where morality, humanity, psychology was absent. Thus, the",actor-network,was split into two: demiurgy on one side; 'death of,nao,metalinguistico,"""The very expression of actor-network invites this reaction"". Mesma passagem da linha 75. Metalinguistico-autocritico, Latour tematiza o termo para criticar. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,actor_network,exaustiva,latour_1999_recalling_bis#actor_network#pos_003549,1,actor-network,critiques are off target even though the very expression of,actor-network,invites this reaction. The original idea was not to occupy,nao,metalinguistico,"""The very expression of actor-network invites this reaction"". Mesma passagem da linha 75. Metalinguistico-autocritico, Latour tematiza o termo para criticar. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,actor_network,exaustiva,latour_1999_recalling_bis#actor_network#pos_007312,1,actor-network,"by the harshest critics of ANT, the network pole of",actor-network,"does not aim at all at designating a Society, the",nao,metalinguistico,"""The very expression of actor-network invites this reaction"". Mesma passagem da linha 75. Metalinguistico-autocritico, Latour tematiza o termo para criticar. [migrado da Etapa 2.6]"
latour_1999_recalling_bis,actor_network,exaustiva,latour_1999_recalling_bis#actor_network#pos_008619,1,actants,its consequence for the demiurgic version of ANT—but what provides,actants,"with their actions, with their subjectivity, with their intentionality, with",,,
latour_1999_recalling_bis,actor_network,exaustiva,latour_1999_recalling_bis#actor_network#pos_012574,1,actant,"Lynch said some time ago, ANT should really be called",actant,ontology'. But who would have cared for such a horrible,,,
latour_1999_recalling_bis,actor_network,exaustiva,latour_1999_recalling_bis#actor_network#pos_015379,1,actants,terms any which would make it impossible for new actors,actants,"in fact) to define the world in their own terms,",,,
latour_1999_recalling_bis,actor_network,exaustiva,latour_1999_recalling_bis#actor_network#pos_028977,1,actor network,"Politic' Configurations Spring(2): 189-240. Latour, B. (1997), ""The Trouble with",Actor Network,"Theory.' Soziale Welt 47: 369-381. Latour, B. (1999), Pandora's Hope.",,,
latour_1999_recalling_bis,actor_network,exaustiva,latour_1999_recalling_bis#actor_network#pos_029316,1,actor-network,"rond. Lee, N. and S. Brown (1994), 'Otherness and the",Actor-Network,"the Undiscovered Continent.' American Behavioral Scientist 37(6): 772-790. Mol, A.",nao,metalinguistico,"""The very expression of actor-network invites this reaction"". Mesma passagem da linha 75. Metalinguistico-autocritico, Latour tematiza o termo para criticar. [migrado da Etapa 2.6]"
