obra,autor_yaml,grupo,termo_encontrado,pagina,posicao_no_texto,contexto_antes,trecho_central,contexto_depois,descartado_por_exclusao
latour_1999_recalling_bis,latour,inscription,inscriptions,1,7607,"the summing up of interactions through various kinds of devices,",inscriptions,"forms and formulae, into a very local, very practical, very",0
latour_1999_recalling_bis,latour,actor_network,actor-network,1,504,that there are four things that do not work with,actor-network,"theory; the word actor, the word network, the word theory",0
latour_1999_recalling_bis,latour,actor_network,actor-network,1,3305,"of forces where morality, humanity, psychology was absent. Thus, the",actor-network,was split into two: demiurgy on one side; 'death of,0
latour_1999_recalling_bis,latour,actor_network,actor-network,1,3549,critiques are off target even though the very expression of,actor-network,invites this reaction. The original idea was not to occupy,0
latour_1999_recalling_bis,latour,actor_network,actor-network,1,7312,"by the harshest critics of ANT, the network pole of",actor-network,"does not aim at all at designating a Society, the",0
latour_1999_recalling_bis,latour,actor_network,actants,1,8619,its consequence for the demiurgic version of ANT—but what provides,actants,"with their actions, with their subjectivity, with their intentionality, with",0
latour_1999_recalling_bis,latour,actor_network,actant,1,12574,"Lynch said some time ago, ANT should really be called",actant,ontology'. But who would have cared for such a horrible,0
latour_1999_recalling_bis,latour,actor_network,actants,1,15379,terms any which would make it impossible for new actors,actants,"in fact) to define the world in their own terms,",0
latour_1999_recalling_bis,latour,actor_network,actor network,1,28977,"Politic' Configurations Spring(2): 189-240. Latour, B. (1997), ""The Trouble with",Actor Network,"Theory.' Soziale Welt 47: 369-381. Latour, B. (1999), Pandora's Hope.",0
latour_1999_recalling_bis,latour,actor_network,actor-network,1,29316,"rond. Lee, N. and S. Brown (1994), 'Otherness and the",Actor-Network,"the Undiscovered Continent.' American Behavioral Scientist 37(6): 772-790. Mol, A.",0
latour_1999_recalling_bis,latour,translation,translations,1,1468,"Deleuze's and Guattari's term rhizome, clearly meant a series of",translations,transductions—which could not be captured by any of the traditional,0
latour_1999_recalling_bis,latour,translation,translation,1,14080,"their world-building capacities. The ridiculous poverty of the ANT vocabulary—association,",translation,"alliance, obligatory passage point, etc.—was a clear signal that none",0
latour_1999_recalling_bis,latour,circulating_reference,circulating references,1,22227,Sociological Review 1999 On recalling ANT reality as there are,circulating references,ANT can gorge itself on realities without having to spend,0
latour_1999_recalling_bis,latour,circulating_reference,circulating reference,1,23520,different 'outside' now that epistemology has been turned into a,circulating reference,"The two movements—the first and the second wave, one on",0
latour_1999_recalling_bis,latour,articulation,articulated,1,21602,"once?—is now, if not taken for granted, at least clearly",articulated,"If ANT can be credited with something, it is to",0
latour_1999_recalling_bis,latour,construction,construction,1,16650,"(Latour, 1997), because of this peculiar relation between an empty",construction,that is nonetheless strictly determined but which has no other,0
latour_1999_recalling_bis,latour,construction,social construction,1,21736,developed a science studies that entirely bypasses the question of,social construction,"and the 'realist/ relativist debate'. It is not, it never",0
latour_1999_recalling_bis,latour,network,network,1,121,explores one after the other the four difficulties of actor-,network,"theory, that is the words 'actor', 'network' and 'theory'—without forgetting",0
latour_1999_recalling_bis,latour,network,network,1,165,"difficulties of actor- network theory, that is the words 'actor',",network,and 'theory'—without forgetting the hyphen. It tries to refocus the,0
latour_1999_recalling_bis,latour,network,network,1,510,that there are four things that do not work with,network,"theory; the word actor, the word network, the word theory",0
latour_1999_recalling_bis,latour,network,network,1,551,"not work with actor-network theory; the word actor, the word",network,the word theory and the hyphen! Four nails in the,0
latour_1999_recalling_bis,latour,network,network,1,671,first nail in the coffin is I guess the word,network,as John Law indicates in his paper in this volume.,0
latour_1999_recalling_bis,latour,network,network,1,905,"World Wide Web exists, everyone believes they understand what a",network,is. While twenty years ago there was still some freshness,0
latour_1999_recalling_bis,latour,network,networks,1,1277,"'Down with rigid institutions,' they all say, 'long live flexible",networks,What is the difference between the older and the new,0
latour_1999_recalling_bis,latour,network,network,1,1373,"older and the new usage? At the time, the word",network,"like Deleuze's and Guattari's term rhizome, clearly meant a series",0
latour_1999_recalling_bis,latour,network,network,1,1614,of social theory. With the new popularization of the word,network,"it now means transport without deformation, an instantaneous, unmediated access",0
latour_1999_recalling_bis,latour,network,network,1,2089,"02148, USA. Bruno Latour cutting edge of the notion of",network,I don't think we should use it anymore at least,0
latour_1999_recalling_bis,latour,network,network,1,2366,word 'actor' in its hyphenated connection with the notion of,network,"From day one, I objected to the hyphen because inevitably",0
latour_1999_recalling_bis,latour,network,network,1,3005,"has turned around the actor, the other turned around the",network,"The first line of criticism has insisted on the Schumpeterian,",0
latour_1999_recalling_bis,latour,network,network,1,3311,"of forces where morality, humanity, psychology was absent. Thus, the",network,was split into two: demiurgy on one side; 'death of,0
latour_1999_recalling_bis,latour,network,network,1,3555,critiques are off target even though the very expression of,network,invites this reaction. The original idea was not to occupy,0
latour_1999_recalling_bis,latour,network,network,1,4058,refocus the argument. Let us abandon the words 'actor' and,network,"for a moment and pay some attention to two operations,",0
latour_1999_recalling_bis,latour,network,network,1,7296,"even, I think, by the harshest critics of ANT, the",network,pole of actor-network does not aim at all at designating,0
latour_1999_recalling_bis,latour,network,network,1,7318,"by the harshest critics of ANT, the network pole of",network,"does not aim at all at designating a Society, the",0
latour_1999_recalling_bis,latour,network,networks,1,9933,is supposed to be located. Contexts too flow locally through,networks,"be these geography, medicine, statistics, economics, or even sociology. This",0
latour_1999_recalling_bis,latour,network,network,1,10461,is not here to play the role of agency and,network,to play the role of society. Actor and network—if we,0
latour_1999_recalling_bis,latour,network,network,1,10509,and 'network' to play the role of society. Actor and,network,we want to still use those terms— 18 O The,0
latour_1999_recalling_bis,latour,network,networks,1,12125,say 'we' and 'one'. This empty space 'in between' the,networks,those terra incognita are the most exciting aspects of ANT,0
latour_1999_recalling_bis,latour,network,network,1,12363,can be drawn from this vast empty space 'in between',network,trajectories is not clear yet because of a third difficulty,0
latour_1999_recalling_bis,latour,network,networks,1,15774,theory should be and what the excessive diffusion of 'double-click',networks,has rendered irretrievable: it is a theory that says that,0
latour_1999_recalling_bis,latour,network,network,1,17616,hyphen that relates and distinguishes the two words 'actor' and,network,"As I have indicated above, it is an unfortunate reminder",0
latour_1999_recalling_bis,latour,network,network,1,26816,"abandoning what is so wrong with ANT, that is 'actor',",network,"'theory' without forgetting the hyphen!—some other creature might emerge, light",0
latour_1999_recalling_bis,latour,network,network,1,28983,"Configurations Spring(2): 189-240. Latour, B. (1997), ""The Trouble with Actor",Network,"Theory.' Soziale Welt 47: 369-381. Latour, B. (1999), Pandora's Hope.",0
latour_1999_recalling_bis,latour,network,network,1,29322,"rond. Lee, N. and S. Brown (1994), 'Otherness and the",Network,"the Undiscovered Continent.' American Behavioral Scientist 37(6): 772-790. Mol, A.",0
latour_1999_recalling_bis,latour,network,networks,1,29445,"Scientist 37(6): 772-790. Mol, A. and J. Law (1994), 'Regions,",Networks,and Fluids: Anaemia and Social Topology.' Social Studies of Science,0
latour_1999_recalling_bis,latour,militar,alliance,1,14093,"world-building capacities. The ridiculous poverty of the ANT vocabulary—association, translation,",alliance,"obligatory passage point, etc.—was a clear signal that none of",0
latour_1999_recalling_bis,latour,militar,wars,1,21359,"which it derived, mentioned social constructivism and the recent Science",Wars,Clearly the treatment of the collective of scientific reality as,0
latour_1999_recalling_bis,latour,textil,ties,1,11614,macro are local effects of hooking up to circulating enti-,ties,"if contexts flow inside narrow conduits, it means that there",0
latour_1999_recalling_bis,latour,topologia,flat,1,1092,"as diverse as institution, society, nation-state and, more generally, any",flat,"surface, it has lost any cutting edge and is now",0
latour_1999_recalling_bis,latour,topologia,surface,1,1097,"diverse as institution, society, nation-state and, more generally, any flat",surface,it has lost any cutting edge and is now the,0
latour_1999_recalling_bis,latour,topologia,connection,1,2335,into the coffin is the word 'actor' in its hyphenated,connection,"with the notion of 'network'. From day one, I objected",0
latour_1999_recalling_bis,latour,topologia,circulating,1,6502,"agency and structure at all, but rather of being a",circulating,entity. The double dissatisfaction that has triggered so much of,0
latour_1999_recalling_bis,latour,topologia,trajectory,1,6700,be an artefact: the result of trying to picture a,trajectory,"a movement, by using oppositions between two notions, micro and",0
latour_1999_recalling_bis,latour,topologia,locus,1,7686,"and formulae, into a very local, very practical, very tiny",locus,This is now well known O The Editorial Board of,0
latour_1999_recalling_bis,latour,topologia,connected,1,8146,"does not mean 'really' big or 'overall', or 'overarching', but",connected,"blind, local, mediated, related. This is already an important contribution",0
latour_1999_recalling_bis,latour,topologia,circulating,1,8749,"intentionality, with their morality. When you hook up with this",circulating,"entity, then you are partially provided with consciousness, subjectivity, actorial-",0
latour_1999_recalling_bis,latour,topologia,scale,1,9683,back. In the social domain there is no change of,scale,It is so to speak always flat and folded and,0
latour_1999_recalling_bis,latour,topologia,flat,1,9715,no change of scale. It is so to speak always,flat,and folded and this is especially true of the natural,0
latour_1999_recalling_bis,latour,topologia,folded,1,9724,of scale. It is so to speak always flat and,folded,and this is especially true of the natural sciences that,0
latour_1999_recalling_bis,latour,topologia,flow,1,9912,in which society is supposed to be located. Contexts too,flow,"locally through networks, be these geography, medicine, statistics, economics, or",0
latour_1999_recalling_bis,latour,topologia,topology,1,10264,societies out of sociologies; cultures out of anthropologies; etc. The,topology,"of the social, John Law is right, is rather bizarre,",0
latour_1999_recalling_bis,latour,topologia,locus,1,10364,"rather bizarre, but I don't think it is fractal. Each",locus,can be seen as framing and summing up. 'Actor' is,0
latour_1999_recalling_bis,latour,topologia,surface,1,11182,(agencies). To have transformed the social from what was a,surface,"a terri- tory, a province of reality, into a circulation,",0
latour_1999_recalling_bis,latour,topologia,circulation,1,11237,"surface, a terri- tory, a province of reality, into a",circulation,is what I think has been the most useful contribution,0
latour_1999_recalling_bis,latour,topologia,circulating,1,11595,micro and macro are local effects of hooking up to,circulating,"enti- ties, if contexts flow inside narrow conduits, it means",0
latour_1999_recalling_bis,latour,topologia,flow,1,11632,"effects of hooking up to circulating enti- ties, if contexts",flow,"inside narrow conduits, it means that there is plenty of",0
latour_1999_recalling_bis,latour,topologia,inside,1,11637,"of hooking up to circulating enti- ties, if contexts flow",inside,"narrow conduits, it means that there is plenty of 'space'",0
latour_1999_recalling_bis,latour,topologia,trajectories,1,11723,that there is plenty of 'space' in between the tiny,trajectories,"of what could be called the local productions of 'phusigenics',",0
latour_1999_recalling_bis,latour,topologia,trajectories,1,12371,be drawn from this vast empty space 'in between' network,trajectories,is not clear yet because of a third difficulty that,0
latour_1999_recalling_bis,latour,topologia,fluid,1,15526,touchstones. John Law and Annemarie Mol have used the word,fluid,"(Mol and Law, 1994), Adrian Cussins, the word trails (Cussins,",0
latour_1999_recalling_bis,latour,topologia,circulations,1,15854,irretrievable: it is a theory that says that by following,circulations,"we can get more than by defining entities, essence or",0
latour_1999_recalling_bis,latour,topologia,outside,1,19460,epistemological settle- ment about: (a) what the world is like,outside,without human inter- vention; (b) a psychology inside—an isolated subjectivity,0
latour_1999_recalling_bis,latour,topologia,inside,1,19516,is like outside without human inter- vention; (b) a psychology,inside,isolated subjectivity still able to also comprehend the word out,0
latour_1999_recalling_bis,latour,topologia,connections,1,19862,the only way to guaran- tee the differences and the,connections,between those three other domains of reality. There is not,0
latour_1999_recalling_bis,latour,topologia,fluids,1,20766,of nature. It is a theory of the space or,fluids,circulating in a non-modern situation. What type of connection can,0
latour_1999_recalling_bis,latour,topologia,circulating,1,20773,nature. It is a theory of the space or fluids,circulating,in a non-modern situation. What type of connection can be,0
latour_1999_recalling_bis,latour,topologia,connection,1,20826,or fluids circulating in a non-modern situation. What type of,connection,"can be established between those terms, other than the systematic",0
latour_1999_recalling_bis,latour,topologia,circulate,1,21137,Let us not forget that the first thing we made,circulate,"is nature and reference, that is the 'out there' box.",0
latour_1999_recalling_bis,latour,topologia,circulation,1,21432,the treatment of the collective of scientific reality as a,circulation,of transformations—is it even necessary to say again that reference,0
latour_1999_recalling_bis,latour,topologia,circulating,1,22227,Sociological Review 1999 On recalling ANT reality as there are,circulating,references. ANT can gorge itself on realities without having to,0
latour_1999_recalling_bis,latour,topologia,outside,1,22368,a single moment excusing itself for not believing in an,outside,"reality. On the contrary, it is now able to explain",0
latour_1999_recalling_bis,latour,topologia,outside,1,22500,the modernist had the bizarre idea of mak- ing reality,outside,What I call the 'second wave' of science studies has,0
latour_1999_recalling_bis,latour,topologia,outside,1,22769,"humans, of indi- viduals, of intentional subjects, than being an",outside,reality is a property of nature. This new tack is,0
latour_1999_recalling_bis,latour,topologia,circulating,1,22993,chapter by Annemarie Mol). Subjectivity seems also to be a,circulating,"capacity, something that is partially gained or lost by hooking",0
latour_1999_recalling_bis,latour,topologia,outside,1,23416,"have the character of, so to speak, redistributing subjective quality",outside,"of course, it is a totally different 'outside' now that",0
latour_1999_recalling_bis,latour,topologia,outside,1,23466,"subjective quality outside—but of course, it is a totally different",outside,now that epistemology has been turned into a circulating reference.,0
latour_1999_recalling_bis,latour,topologia,circulating,1,23520,different 'outside' now that epistemology has been turned into a,circulating,"reference. The two movements—the first and the second wave, one",0
latour_1999_recalling_bis,latour,topologia,outside,1,23702,closely related: the more we have 'socialized' so to speak,outside,"nature, the more 'outside' objectivity the content of our subjectivity",0
latour_1999_recalling_bis,latour,topologia,outside,1,23729,"we have 'socialized' so to speak 'outside' nature, the more",outside,objectivity the content of our subjectivity can gain. There is,0
latour_1999_recalling_bis,latour,topologia,circulation,1,24204,we could elicit the specificity of a certain type of,circulation,"that is turning the Body Politic into one, that is,",0
latour_1999_recalling_bis,latour,topologia,circulation,1,24281,"the Body Politic into one, that is, some type of",circulation,"that 'collects' the collective, we would have made an immense",0
latour_1999_recalling_bis,latour,topologia,circulation,1,24939,obtained without a relocation of the extraordinary originality of political,circulation,O The Editorial Board of The Sociological Review 1999 23,0
latour_1999_recalling_bis,latour,topologia,circulation,1,25415,think that it is in theology that the notion of,circulation,"is the most rewarding, precisely because it quickly rejuvenates a",0
latour_1999_recalling_bis,latour,topologia,circulation,1,25782,care to take it also for a certain type of,circulation,The point on which I want to conclude is somewhat,0
latour_1999_recalling_bis,latour,topologia,fluids,1,29459,"772-790. Mol, A. and J. Law (1994), 'Regions, Networks, and",Fluids,Anaemia and Social Topology.' Social Studies of Science 24(4): 641-672.,0
latour_1999_recalling_bis,latour,topologia,topology,1,29488,"J. Law (1994), 'Regions, Networks, and Fluids: Anaemia and Social",Topology,"Social Studies of Science 24(4): 641-672. Power, M. (ed.) (1995),",0
